                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8984,                 3.7529,                 1.6985,                  0.005,                0.29686,                0.08294,                0.03228,                 1.5359,                 4.0745,                 1.3437,             0.00015719,             0.00015719,             0.00015719
                      2,                 1.8165,                  2.821,                  1.499,                0.00745,                0.46523,                0.14338,                0.06108,                 1.3937,                 3.7891,                 1.2859,             0.00031782,             0.00031782,             0.00031782
                      3,                 1.6968,                 2.5461,                 1.4369,                0.00873,                 0.5637,                0.16307,                0.07218,                 1.4821,                 3.6207,                 1.2902,             0.00046714,             0.00046714,             0.00046714
                      4,                 1.7853,                 2.3766,                 1.3996,                0.21928,                0.39653,                0.20313,                0.09078,                 1.4785,                 3.2652,                 1.2645,             0.00060514,             0.00060514,             0.00060514
                      5,                 1.7001,                 2.2547,                  1.461,                0.55747,                0.16176,                0.25629,                  0.123,                  1.547,                 3.0661,                 1.3663,             0.00073182,             0.00073182,             0.00073182
                      6,                 1.6377,                 2.1262,                 1.4058,                0.49167,                 0.1214,                0.25606,                0.11365,                  1.544,                 3.1099,                 1.3673,             0.00084718,             0.00084718,             0.00084718
                      7,                 1.7023,                 2.1829,                  1.407,                0.40879,                0.23242,                0.28459,                0.13298,                  1.578,                 2.9972,                 1.3512,             0.00095123,             0.00095123,             0.00095123
                      8,                 1.6293,                 2.1453,                 1.3827,                0.40215,                0.28258,                 0.3196,                0.15027,                  1.554,                 2.9062,                 1.3808,               0.001044,               0.001044,               0.001044
                      9,                 1.5345,                 1.9968,                 1.3589,                0.36712,                0.41815,                0.31985,                0.14042,                  1.626,                 2.9084,                 1.4723,              0.0010517,              0.0010517,              0.0010517
                     10,                 1.6691,                 1.9851,                 1.3882,                0.52808,                0.36299,                0.40617,                0.18141,                 1.7528,                 3.1235,                 1.5296,              0.0010046,              0.0010046,              0.0010046
                     11,                 1.6128,                 1.8597,                 1.3298,                0.45372,                0.50284,                0.46336,                0.21193,                 1.6187,                 2.5098,                 1.4186,             0.00095743,             0.00095743,             0.00095743
                     12,                 1.5749,                 1.8892,                 1.3553,                0.35625,                0.50735,                0.40142,                0.19191,                 1.5906,                 2.4106,                 1.4046,             0.00091027,             0.00091027,             0.00091027
